epoch 69 pred_counts: {4: 145, 6: 211, 5: 206, 8: 273, 1: 323, 7: 224, 3: 157, 9: 227, 10: 184, 0: 154, 2: 168, 13: 267, 11: 287, 12: 247} conf_thresh=0.05
epoch 70 pred_counts: {4: 145, 6: 211, 5: 199, 8: 267, 1: 322, 7: 220, 3: 159, 9: 227, 10: 179, 0: 153, 2: 168, 13: 265, 11: 287, 12: 237} conf_thresh=0.05
epoch 71 pred_counts: {4: 142, 6: 212, 5: 190, 8: 266, 1: 323, 7: 215, 3: 160, 9: 229, 10: 177, 0: 151, 2: 168, 13: 262, 11: 284, 12: 233} conf_thresh=0.05
epoch 72 pred_counts: {4: 142, 6: 211, 5: 189, 8: 265, 1: 322, 7: 212, 3: 162, 9: 228, 10: 171, 0: 150, 2: 168, 13: 259, 11: 282, 12: 229} conf_thresh=0.05
epoch 73 pred_counts: {4: 142, 6: 211, 5: 187, 8: 262, 1: 317, 7: 212, 3: 163, 9: 233, 10: 167, 0: 150, 2: 168, 13: 257, 11: 277, 12: 220} conf_thresh=0.05
epoch 74 pred_counts: {4: 141, 6: 213, 5: 186, 8: 252, 1: 318, 7: 212, 3: 164, 9: 235, 10: 166, 0: 149, 2: 168, 13: 257, 11: 274, 12: 211} conf_thresh=0.05
epoch 75 pred_counts: {4: 140, 6: 213, 5: 183, 8: 248, 1: 318, 7: 214, 3: 165, 9: 235, 0: 146, 10: 162, 2: 168, 13: 256, 11: 272, 12: 203} conf_thresh=0.05
epoch 76 pred_counts: {4: 137, 6: 209, 5: 180, 8: 251, 1: 318, 7: 215, 3: 167, 9: 238, 10: 163, 0: 147, 2: 167, 13: 255, 11: 269, 12: 202} conf_thresh=0.05
epoch 77 pred_counts: {4: 135, 6: 208, 5: 178, 8: 245, 1: 311, 7: 211, 3: 167, 9: 240, 10: 163, 0: 148, 2: 165, 13: 254, 12: 199, 11: 262} conf_thresh=0.05
epoch 78 pred_counts: {4: 136, 6: 211, 5: 180, 8: 240, 1: 310, 7: 211, 3: 167, 9: 240, 10: 162, 0: 149, 2: 164, 13: 252, 12: 201, 11: 259} conf_thresh=0.05
epoch 79 pred_counts: {4: 136, 6: 210, 5: 177, 8: 237, 1: 306, 7: 211, 9: 242, 0: 148, 10: 163, 3: 167, 2: 164, 13: 252, 12: 199, 11: 260} conf_thresh=0.05
epoch 80 pred_counts: {4: 136, 6: 209, 5: 176, 1: 314, 8: 228, 7: 212, 9: 244, 0: 149, 10: 161, 3: 168, 2: 164, 13: 251, 12: 198, 11: 262} conf_thresh=0.05
epoch 81 pred_counts: {4: 136, 6: 212, 5: 175, 1: 312, 8: 229, 7: 214, 9: 243, 0: 149, 3: 167, 10: 156, 2: 163, 13: 250, 12: 194, 11: 259} conf_thresh=0.05
epoch 82 pred_counts: {4: 135, 6: 217, 1: 313, 8: 229, 7: 211, 9: 242, 0: 147, 3: 164, 5: 170, 10: 156, 2: 163, 13: 249, 12: 193, 11: 258} conf_thresh=0.05
epoch 83 pred_counts: {4: 135, 6: 217, 1: 310, 8: 224, 7: 212, 9: 244, 0: 148, 3: 163, 5: 169, 10: 156, 2: 161, 13: 248, 12: 193, 11: 260} conf_thresh=0.05
epoch 84 pred_counts: {4: 135, 6: 219, 1: 305, 8: 220, 7: 212, 9: 249, 0: 149, 3: 163, 5: 174, 10: 156, 2: 161, 13: 247, 12: 192, 11: 259} conf_thresh=0.05
epoch 85 pred_counts: {4: 134, 6: 221, 1: 303, 8: 219, 7: 212, 9: 247, 0: 148, 3: 163, 5: 176, 10: 156, 2: 158, 13: 247, 12: 195, 11: 256} conf_thresh=0.05
epoch 86 pred_counts: {4: 134, 6: 224, 1: 303, 8: 217, 7: 208, 9: 244, 0: 148, 3: 159, 5: 174, 10: 155, 2: 158, 13: 247, 12: 192, 11: 259} conf_thresh=0.05
epoch 87 pred_counts: {4: 134, 6: 225, 1: 301, 8: 219, 7: 208, 9: 244, 0: 149, 3: 159, 5: 173, 10: 157, 2: 158, 13: 248, 12: 189, 11: 260} conf_thresh=0.05
epoch 88 pred_counts: {4: 134, 6: 227, 1: 298, 8: 219, 7: 210, 9: 242, 0: 144, 3: 159, 5: 172, 10: 158, 2: 158, 13: 248, 12: 190, 11: 261} conf_thresh=0.05
epoch 89 pred_counts: {4: 134, 6: 227, 1: 293, 8: 219, 7: 211, 9: 242, 0: 144, 3: 159, 5: 172, 10: 159, 2: 158, 13: 248, 12: 189, 11: 258} conf_thresh=0.05
epoch 90 pred_counts: {4: 134, 6: 225, 1: 291, 8: 220, 7: 215, 9: 244, 0: 144, 3: 156, 5: 174, 10: 159, 2: 158, 13: 248, 12: 189, 11: 255} conf_thresh=0.05
epoch 91 pred_counts: {4: 134, 6: 223, 1: 288, 8: 223, 7: 214, 9: 242, 0: 144, 3: 156, 5: 174, 10: 160, 2: 158, 13: 249, 12: 187, 11: 255} conf_thresh=0.05
epoch 92 pred_counts: {4: 133, 6: 224, 1: 283, 8: 223, 7: 213, 9: 242, 0: 144, 3: 157, 5: 172, 10: 158, 2: 157, 13: 248, 12: 180, 11: 254} conf_thresh=0.05
epoch 93 pred_counts: {4: 132, 6: 224, 1: 281, 8: 222, 7: 212, 9: 244, 0: 146, 3: 157, 5: 175, 10: 155, 2: 157, 13: 248, 12: 179, 11: 255} conf_thresh=0.05
epoch 94 pred_counts: {4: 132, 6: 225, 1: 279, 8: 223, 7: 211, 9: 247, 0: 145, 3: 155, 5: 175, 10: 155, 2: 157, 13: 247, 12: 179, 11: 259} conf_thresh=0.05
epoch 95 pred_counts: {4: 132, 6: 225, 1: 279, 8: 224, 7: 212, 9: 246, 0: 144, 3: 156, 5: 176, 10: 153, 2: 156, 13: 247, 12: 182, 11: 260} conf_thresh=0.05
epoch 96 pred_counts: {4: 132, 6: 226, 8: 223, 7: 214, 9: 244, 0: 144, 1: 280, 3: 157, 5: 176, 10: 152, 2: 156, 13: 247, 12: 180, 11: 259} conf_thresh=0.05
epoch 97 pred_counts: {4: 132, 6: 226, 8: 222, 7: 214, 9: 241, 0: 149, 1: 279, 3: 157, 5: 177, 10: 151, 2: 156, 13: 247, 12: 180, 11: 259} conf_thresh=0.05
epoch 98 pred_counts: {4: 132, 6: 226, 8: 222, 7: 210, 9: 237, 0: 148, 1: 280, 3: 155, 5: 175, 10: 151, 2: 156, 13: 247, 12: 177, 11: 259} conf_thresh=0.05
