epoch 63 pred_counts: {4: 138, 9: 251, 6: 136, 7: 233, 8: 204, 1: 228, 3: 125, 5: 171, 10: 138, 2: 166, 0: 131, 13: 269, 12: 150, 11: 186} conf_thresh=0.05
epoch 64 pred_counts: {4: 138, 9: 246, 6: 135, 7: 231, 8: 205, 1: 224, 3: 125, 5: 172, 10: 138, 2: 165, 0: 131, 13: 268, 12: 151, 11: 185} conf_thresh=0.05
epoch 65 pred_counts: {4: 138, 9: 245, 6: 135, 7: 230, 8: 203, 1: 221, 3: 125, 5: 171, 10: 138, 2: 165, 0: 131, 13: 268, 12: 150, 11: 184} conf_thresh=0.05
epoch 66 pred_counts: {4: 137, 9: 245, 6: 134, 7: 229, 8: 199, 1: 214, 3: 125, 5: 166, 10: 138, 2: 164, 0: 133, 13: 266, 12: 150, 11: 181} conf_thresh=0.05
epoch 67 pred_counts: {4: 136, 9: 243, 6: 134, 7: 224, 8: 201, 1: 209, 3: 125, 5: 167, 10: 138, 2: 163, 0: 134, 13: 267, 12: 150, 11: 181} conf_thresh=0.05
epoch 68 pred_counts: {4: 136, 9: 240, 6: 134, 7: 222, 8: 200, 1: 208, 3: 124, 5: 163, 10: 138, 2: 163, 0: 135, 13: 267, 12: 147, 11: 182} conf_thresh=0.05
epoch 69 pred_counts: {4: 136, 9: 237, 6: 133, 7: 220, 8: 199, 1: 203, 3: 124, 5: 160, 10: 138, 2: 162, 0: 135, 13: 266, 12: 147, 11: 180} conf_thresh=0.05
epoch 70 pred_counts: {4: 135, 9: 238, 6: 130, 7: 214, 8: 202, 1: 203, 3: 124, 5: 156, 10: 138, 2: 160, 0: 137, 13: 265, 12: 145, 11: 178} conf_thresh=0.05
epoch 71 pred_counts: {4: 135, 9: 237, 6: 127, 7: 210, 8: 197, 1: 203, 3: 124, 5: 155, 10: 138, 2: 159, 0: 137, 13: 265, 12: 145, 11: 178} conf_thresh=0.05
epoch 72 pred_counts: {4: 134, 9: 233, 6: 127, 7: 209, 8: 194, 1: 201, 3: 124, 5: 154, 10: 138, 2: 156, 0: 137, 13: 265, 12: 145, 11: 178} conf_thresh=0.05
epoch 73 pred_counts: {4: 134, 9: 231, 6: 125, 7: 208, 8: 190, 1: 200, 3: 123, 5: 151, 10: 137, 2: 156, 0: 136, 13: 264, 12: 144, 11: 178} conf_thresh=0.05
epoch 74 pred_counts: {4: 133, 9: 229, 6: 123, 7: 206, 8: 188, 1: 198, 3: 123, 5: 149, 10: 137, 2: 156, 0: 137, 13: 263, 12: 144, 11: 178} conf_thresh=0.05
epoch 75 pred_counts: {4: 132, 9: 226, 6: 122, 7: 198, 8: 186, 1: 199, 3: 122, 5: 148, 10: 137, 2: 156, 0: 138, 13: 263, 12: 144, 11: 178} conf_thresh=0.05
epoch 76 pred_counts: {4: 132, 9: 226, 6: 121, 7: 194, 8: 183, 1: 198, 3: 122, 5: 144, 10: 136, 2: 153, 0: 137, 13: 264, 12: 144, 11: 178} conf_thresh=0.05
epoch 77 pred_counts: {4: 132, 9: 224, 6: 121, 7: 192, 8: 181, 1: 198, 3: 122, 5: 143, 10: 136, 2: 153, 0: 135, 13: 264, 12: 144, 11: 178} conf_thresh=0.05
epoch 78 pred_counts: {4: 132, 9: 222, 6: 121, 7: 190, 8: 176, 1: 198, 3: 122, 5: 142, 10: 136, 2: 153, 0: 135, 13: 263, 12: 144, 11: 177} conf_thresh=0.05
epoch 79 pred_counts: {4: 132, 9: 220, 6: 121, 7: 191, 8: 174, 1: 197, 3: 122, 5: 142, 10: 134, 2: 153, 0: 135, 13: 263, 12: 144, 11: 177} conf_thresh=0.05
epoch 80 pred_counts: {4: 132, 9: 220, 6: 120, 7: 188, 8: 173, 1: 195, 3: 122, 5: 139, 10: 134, 2: 154, 0: 135, 13: 263, 12: 144, 11: 177} conf_thresh=0.05
epoch 81 pred_counts: {4: 132, 9: 219, 7: 186, 8: 170, 6: 119, 1: 195, 3: 122, 5: 139, 10: 134, 2: 155, 0: 135, 13: 262, 12: 144, 11: 176} conf_thresh=0.05
epoch 82 pred_counts: {4: 132, 9: 218, 7: 184, 8: 174, 6: 119, 1: 194, 3: 122, 5: 138, 10: 134, 2: 155, 0: 131, 13: 259, 12: 142, 11: 173} conf_thresh=0.05
epoch 83 pred_counts: {4: 132, 9: 218, 7: 183, 8: 173, 6: 119, 1: 194, 3: 122, 5: 137, 10: 134, 2: 156, 0: 131, 13: 259, 12: 141, 11: 172} conf_thresh=0.05
epoch 84 pred_counts: {4: 132, 7: 178, 8: 169, 9: 217, 6: 119, 1: 192, 3: 122, 5: 137, 10: 134, 2: 156, 0: 132, 13: 258, 12: 141, 11: 169} conf_thresh=0.05
epoch 85 pred_counts: {4: 132, 7: 177, 9: 217, 6: 119, 8: 171, 1: 191, 3: 122, 5: 135, 10: 134, 2: 155, 0: 130, 13: 257, 12: 139, 11: 168} conf_thresh=0.05
epoch 86 pred_counts: {4: 132, 7: 176, 9: 216, 6: 120, 8: 168, 1: 189, 3: 122, 5: 132, 10: 134, 2: 155, 0: 130, 13: 255, 12: 139, 11: 166} conf_thresh=0.05
epoch 87 pred_counts: {4: 132, 7: 174, 9: 216, 6: 120, 8: 169, 1: 188, 3: 122, 5: 131, 2: 155, 0: 130, 10: 133, 13: 255, 12: 138, 11: 166} conf_thresh=0.05
epoch 88 pred_counts: {4: 132, 7: 174, 6: 120, 9: 214, 8: 169, 1: 187, 3: 122, 5: 131, 2: 156, 0: 128, 10: 133, 13: 254, 12: 136, 11: 167} conf_thresh=0.05
epoch 89 pred_counts: {4: 132, 7: 174, 6: 120, 9: 214, 8: 169, 1: 186, 3: 122, 5: 132, 2: 154, 0: 128, 10: 133, 13: 255, 12: 136, 11: 167} conf_thresh=0.05
epoch 90 pred_counts: {4: 132, 7: 170, 6: 120, 8: 170, 1: 183, 3: 122, 5: 132, 2: 155, 0: 128, 9: 212, 10: 133, 13: 255, 12: 135, 11: 167} conf_thresh=0.05
epoch 91 pred_counts: {4: 132, 7: 169, 6: 120, 8: 168, 1: 181, 3: 122, 5: 132, 2: 151, 0: 128, 9: 212, 10: 133, 13: 254, 12: 135, 11: 166} conf_thresh=0.05
epoch 92 pred_counts: {4: 132, 7: 170, 6: 120, 8: 163, 1: 180, 3: 122, 5: 132, 2: 150, 0: 128, 9: 212, 10: 133, 13: 254, 12: 133, 11: 165} conf_thresh=0.05
epoch 93 pred_counts: {4: 132, 7: 169, 6: 120, 8: 161, 1: 176, 3: 122, 5: 131, 2: 150, 0: 128, 9: 213, 10: 133, 13: 254, 12: 133, 11: 165} conf_thresh=0.05
epoch 94 pred_counts: {4: 132, 7: 168, 6: 120, 8: 159, 1: 175, 3: 122, 5: 131, 2: 150, 0: 128, 9: 213, 10: 133, 13: 254, 12: 132, 11: 165} conf_thresh=0.05
