epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,4017.5,0.18249,0.20118,0.88637,0.99962,1,0.995,0.995,0.06549,0.07579,0.79306,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4073.94,0.18119,0.19706,0.88513,0.99954,1,0.995,0.99499,0.06145,0.05759,0.79297,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4130.03,0.18141,0.19978,0.88578,0.9996,1,0.995,0.99498,0.06058,0.05838,0.79278,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,4186.62,0.18195,0.19408,0.8861,0.99949,1,0.995,0.99494,0.06052,0.06016,0.79289,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,4243.43,0.17903,0.19814,0.8846,0.99954,1,0.995,0.99498,0.0625,0.06284,0.79285,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,4293.3,0.17887,0.19596,0.88494,0.99955,1,0.995,0.995,0.06263,0.06225,0.7927,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,4350.01,0.17546,0.1949,0.88349,0.99966,1,0.995,0.99499,0.06187,0.06065,0.79269,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,4406.77,0.17672,0.19111,0.88706,0.99961,1,0.995,0.995,0.06174,0.06071,0.79276,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,4463.46,0.17552,0.18856,0.88595,0.99961,1,0.995,0.995,0.05912,0.06027,0.79231,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,4519.67,0.1748,0.18896,0.88292,0.99958,1,0.995,0.995,0.05892,0.0624,0.79273,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
