epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,549.126,1.33185,1.23856,1.05244,0.85271,0.74006,0.87229,0.59142,1.19303,0.96152,1.00681,0.000756015,0.000756015,0.000756015
19,579.294,1.46297,1.31314,1.14939,0.77599,0.81906,0.88992,0.62916,1.11733,0.93557,0.98835,0.000747016,0.000747016,0.000747016
20,610.757,1.247,1.09518,1.03883,0.77211,0.84382,0.88697,0.64061,1.06526,0.85834,0.9773,0.000738017,0.000738017,0.000738017
21,642.315,1.32682,1.09089,1.05616,0.835,0.84774,0.89233,0.62759,1.08521,1.10921,0.97464,0.000729018,0.000729018,0.000729018
22,672.622,1.38206,1.02988,1.07422,0.75444,0.88236,0.86339,0.58634,1.0955,0.88163,0.97338,0.000720019,0.000720019,0.000720019
23,703.426,1.30359,1.0905,1.05668,0.81588,0.78333,0.85627,0.61953,1.07086,0.84212,0.96556,0.00071102,0.00071102,0.00071102
24,733.162,1.29225,1.06328,1.07736,0.84984,0.78491,0.87586,0.633,1.04863,0.82397,0.96593,0.000702021,0.000702021,0.000702021
25,763.565,1.30058,1.05009,1.03286,0.75114,0.78096,0.88837,0.65434,1.01664,1.08881,0.9514,0.000693022,0.000693022,0.000693022
26,794.769,1.22702,0.96002,0.96363,0.81186,0.76165,0.86262,0.62956,1.01908,0.88404,0.95223,0.000684022,0.000684022,0.000684022
27,824.708,1.25978,0.96286,1.00877,0.85417,0.8307,0.88573,0.61867,1.04492,0.85453,0.96508,0.000675023,0.000675023,0.000675023
28,855.185,1.20708,0.9424,1.01071,0.75534,0.80015,0.82205,0.57728,1.03216,0.99835,0.962,0.000666024,0.000666024,0.000666024
29,886.178,1.18381,1.04797,1.00644,0.8308,0.7885,0.89232,0.63929,1.03916,0.85997,0.94916,0.000657025,0.000657025,0.000657025
30,916.383,1.25636,0.94405,1.04379,0.91216,0.8654,0.91846,0.64774,1.02917,0.79765,0.93778,0.000648026,0.000648026,0.000648026
31,946.619,1.16487,0.89102,1.02045,0.76613,0.86397,0.91263,0.65954,1.01068,0.7426,0.93325,0.000639027,0.000639027,0.000639027
32,979.141,1.1411,0.88036,0.99447,0.89979,0.87302,0.93174,0.68157,0.98355,0.69984,0.92636,0.000630028,0.000630028,0.000630028
33,1013.05,1.18596,0.9016,1.00998,0.83722,0.90177,0.94171,0.69885,0.94787,0.74606,0.91444,0.000621029,0.000621029,0.000621029
34,1044.64,1.16491,0.90263,1.00182,0.85226,0.88527,0.93527,0.69353,0.93062,0.78842,0.91573,0.00061203,0.00061203,0.00061203
35,1074.25,1.07958,0.85131,0.96853,0.85265,0.9133,0.93649,0.68115,0.92835,0.68353,0.91295,0.000603031,0.000603031,0.000603031
36,1103.32,1.13342,0.8131,0.9679,0.89971,0.87706,0.94074,0.6923,0.91896,0.64116,0.90832,0.000594031,0.000594031,0.000594031
37,1133.49,1.17246,0.92273,0.98898,0.89982,0.90097,0.93475,0.70819,0.90212,0.68394,0.90799,0.000585032,0.000585032,0.000585032
38,1165.41,1.09709,0.80084,0.96137,0.86388,0.88762,0.94289,0.72818,0.88493,0.65396,0.90618,0.000576033,0.000576033,0.000576033
39,1197.63,1.07243,0.82835,0.96573,0.81633,0.8874,0.95526,0.71112,0.90956,0.7685,0.9067,0.000567034,0.000567034,0.000567034
40,1227.04,1.06725,0.7672,0.94105,0.87264,0.92366,0.9552,0.70633,0.91645,0.68064,0.91081,0.000558035,0.000558035,0.000558035
41,1256.61,1.06701,0.771,0.95307,0.95723,0.88477,0.96189,0.72554,0.91422,0.59292,0.90862,0.000549036,0.000549036,0.000549036
